Post_id,title,author,score,num_comments,category,collected_at,score_per_comment
47624580,AI's fluency in other languages hides a Western worldview that can mislead users,1659447091,8,0,Technology,2026-04-03 11:39:12,8.0
47612277,Almighty Lisp: Lisp and Emacs Essentials Book,nemoniac,61,4,Entertainment,2026-04-03 11:39:12,15.25
47604155,SpaceX files to go public,nutjob2,391,559,Science,2026-04-03 11:39:13,0.6994633273703041
47621937,Show HN: A Minimal Basic Inspired by Brainfuck,ADavison2560,6,0,Technology,2026-04-03 11:39:14,6.0
47610245,Things I Think I Think... Preferring Local OSS LLMs,zdw,43,9,Technology,2026-04-03 11:39:14,4.777777777777778
47557921,Show HN: Git bayesect – Bayesian Git bisection for non-deterministic bugs,hauntsaninja,332,44,Entertainment,2026-04-03 11:39:18,7.545454545454546
47607394,SolveSpace (open source 2D/3D CAD) working on Windows 2000 (2025),ruevs,39,6,Science,2026-04-03 11:39:24,6.5
47574871,"Show HN: Zerobox – Sandbox any command with file, network, credential controls",afshinmeh,138,92,Entertainment,2026-04-03 11:39:25,1.5
47589856,Show HN: Postgres extension for BM25 relevance-ranked full-text search,tjgreen,199,56,Entertainment,2026-04-03 11:39:26,3.5535714285714284
47541746,Show HN: Forkrun – NUMA-aware shell parallelizer (50×–400× faster than parallel),jkool702,149,41,Worldnews,2026-04-03 11:39:29,3.6341463414634148
47577761,Fedware: Government apps that spy harder than the apps they ban,speckx,680,278,Worldnews,2026-04-03 11:39:31,2.446043165467626
47578086,Vulnerability research is cooked,pedro84,255,168,Science,2026-04-03 11:39:32,1.5178571428571428
47620867,Proton Workspace: An encrypted suite for team collaboration,teekert,25,3,Sports,2026-04-03 11:39:33,8.333333333333334
47603966,Show HN: Flight-Viz – 10K flights on a 3D globe in 3.5MB of Rust+WASM,coolwulf,83,45,Entertainment,2026-04-03 11:39:34,1.8444444444444446
47613156,ReactOS Shows Improved Stability and 64-Bit Support at Chemnitz Linux Days 2026,jeditobe,68,25,Entertainment,2026-04-03 11:39:34,2.72
47572878,How-to guide: Commissioning a Sensor Physics R&D Lab,MagneLauritzen,41,4,Science,2026-04-03 11:39:34,10.25
47588349,GitHub Monaspace Case Study,homebrewer,146,49,Science,2026-04-03 11:39:36,2.979591836734694
47586614,Open source CAD in the browser (Solvespace),phkahler,369,125,Science,2026-04-03 11:39:36,2.952
47617630,"Show HN: Mac-hardware toys, control your Mac's hardware like a modular synth",nikisweeting,3,1,Worldnews,2026-04-03 11:39:40,3.0
47613668,Show HN: Abject: the first self-aware object runtime,mempko,9,2,Worldnews,2026-04-03 11:39:43,4.5
47620442,NASA: Artemis II Real time tracking with multiple views,ColinWright,10,0,Science,2026-04-03 11:39:45,10.0
47566143,My MacBook keyboard is broken and it's insanely expensive to fix,TobiasBerg,381,535,Entertainment,2026-04-03 11:39:46,0.7121495327102804
47548164,"Researchers find 3,500-year-old loom that reveals textile revolution",geox,132,20,Science,2026-04-03 11:39:46,6.6
47562342,Digitizing photos from the 1998 Game Boy Camera,rockbruno,68,15,Sports,2026-04-03 11:39:47,4.533333333333333
47578572,Turning a MacBook into a touchscreen with $1 of hardware (2018),HughParry,407,230,Worldnews,2026-04-03 11:39:50,1.7695652173913043
47616475,Haunting Photos Show the Aftermath of the Kursk Submarine Disaster in 2000,mooreds,28,0,Entertainment,2026-04-03 11:39:51,28.0
47555035,"Show HN: Loreline, narrative language transpiled via Haxe: C++/C#/JS/Java/Py/Lua",jeremyfa,73,21,Entertainment,2026-04-03 11:39:52,3.4761904761904763
47609883,"Salomi, a research repo on extreme low-bit transformer quantization",Edward9055,12,4,Science,2026-04-03 11:39:53,3.0
47601310,"Iran war sparks renewables boom as Europeans rush to buy solar, heat pumps, EVs",vrganj,85,116,Worldnews,2026-04-03 11:39:56,0.7327586206896551
47609372,"Show HN: Semantic atlas of 188 constitutions in 3D (30k articles, embeddings)",joaoli131,10,4,Entertainment,2026-04-03 11:39:56,2.5
47609725,Show HN: NASA Artemis II Mission Timeline Tracker,AustinDev,92,16,Science,2026-04-03 11:39:58,5.75
47588324,Show HN: Sundial – a new way to look at a weather forecast,izaidi,61,26,Entertainment,2026-04-03 11:39:59,2.3461538461538463
47612035,UK Government unveils rules to end subscription traps,_____k,25,6,Worldnews,2026-04-03 11:40:03,4.166666666666667
47575403,CodingFont: A game to help you pick a coding font,nvahalik,491,236,Sports,2026-04-03 11:40:04,2.080508474576271
47557299,Hardware Image Compression,luu,73,15,Worldnews,2026-04-03 11:40:07,4.866666666666666
47575061,"Show HN: QWERTY mini Pro – Why a 2-row, 16-key keyboard works better",QWERTYmini,8,7,Entertainment,2026-04-03 11:40:08,1.1428571428571428
47610194,Show HN: Tileserver-RS – Tile Server in Rust with MapLibre Native Rendering,vinayakkulkarni,3,0,Entertainment,2026-04-03 11:40:10,3.0
47585860,"In Expanding de Sitter Space, Quantum Mechanics Gets More Elusive",pseudolus,32,2,Science,2026-04-03 11:40:14,16.0
47558094,Show HN: QuickBEAM – run JavaScript as supervised Erlang/OTP processes,dannote,110,16,Entertainment,2026-04-03 11:40:20,6.875
47603534,A new way to measure poverty shows the US falling behind Europe,_DeadFred_,97,82,Entertainment,2026-04-03 11:40:22,1.1829268292682926
47607775,"""Special 301"" Comments on Nintendo Game Piracy in Asia and Latin America (1994)",Lammy,7,0,Sports,2026-04-03 11:40:23,7.0
47540833,Hold on to Your Hardware,LucidLynx,661,533,Worldnews,2026-04-03 11:40:24,1.2401500938086305
47606946,Show HN: Mkdnsite – Markdown-native web server for humans (HTML) and agents (md),nexdrew,4,0,Entertainment,2026-04-03 11:40:25,4.0
47556033,rpg.actor Game Jam,Kye,80,6,Sports,2026-04-03 11:40:41,13.333333333333334
47546911,Capability-Based Security for Redox: Namespace and CWD as Capabilities,ejplatzer,65,9,Science,2026-04-03 11:40:44,7.222222222222222
47610604,Qwen3.6-Plus: Towards Real World Agents,meetpateltech,20,4,Worldnews,2026-04-03 11:40:44,5.0
