Post_id,title,author,score,num_comments,category,collected_at
47622616,The Technocracy Movement of the 1930s,lazydogbrownfox,166,135,Technology,2026-04-05 18:25:18
47633947,The FAA’s flight restriction for drones is an attempt to criminalize filming ICE,detaro,536,182,Entertainment,2026-04-05 18:25:19
47638147,"Show HN: Pluck – Copy any UI from any website, paste it into AI coding tools",bring-shrubbery,17,16,Technology,2026-04-05 18:25:21
47633676,"Extra usage credit for Pro, Max, and Team plans",angst,64,61,Sports,2026-04-05 18:25:24
47629485,A case study in testing with 100+ Claude agents in parallel,thejash,53,46,Science,2026-04-05 18:25:35
47615002,Qwen3.6-Plus: Towards real world agents,pretext,586,208,Worldnews,2026-04-05 18:25:49
47626598,Show HN: ctx – an Agentic Development Environment (ADE),luca-ctx,50,52,Entertainment,2026-04-05 18:25:56
47640770,Show HN: DocMason – Agent Knowledge Base for local complex office files,Jet_Xu,8,0,Entertainment,2026-04-05 18:25:58
47609564,Steam on Linux Use Skyrocketed Above 5% in March,hkmaxpro,780,365,Sports,2026-04-05 18:26:01
47630109,Firm boosts H.264 streaming license fees from $100k up to staggering $4.5M,MaximilianEmel,189,74,Entertainment,2026-04-05 18:26:06
47646241,Applying machine learning to identify unrecognized Covid-19 deaths in the US,Pxtl,11,7,Worldnews,2026-04-05 18:26:07
47645926,The Spaceballs sequel will be released in April next year,WaitWaitWha,7,0,Science,2026-04-05 18:26:10
47638532,"Show HN: Ownscribe – local meeting transcription, summarization and search",paberr,11,0,Entertainment,2026-04-05 18:26:12
47637580,Emotion Concepts and Their Function in a Large Language Model,Anon84,15,0,Worldnews,2026-04-05 18:26:25
47606560,"Show HN: Dull – Instagram Without Reels, YouTube Without Shorts (iOS)",kasparnoor,152,117,Entertainment,2026-04-05 18:26:29
47648177,China Edges Past U.S. in Global Approval Ratings,KnuthIsGod,5,0,Worldnews,2026-04-05 18:26:31
47632692,Show HN: Mtproto.zig – High-performance Telegram proxy with DPI evasion,slp3r,21,14,Entertainment,2026-04-05 18:26:36
47621438,Show HN: Made a little Artemis II tracker,codingmoh,150,57,Entertainment,2026-04-05 18:26:37
47645240,SpaceX Pushes Back Crucial Starship Test Launch,bookmtn,12,7,Worldnews,2026-04-05 18:26:39
47611721,IBM Announces Strategic Collaboration with Arm,bonzini,281,192,Worldnews,2026-04-05 18:26:41
47631030,Show HN: Ismcpdead.com – Live dashboard tracking MCP adoption and sentiment,sagirodin,35,23,Entertainment,2026-04-05 18:26:41
47604155,SpaceX files to go public,nutjob2,397,573,Science,2026-04-05 18:26:45
47615756,Renewables reached nearly 50% of global electricity capacity last year,Growtika,295,147,Worldnews,2026-04-05 18:26:46
47645717,Explore union types in C# 15,0x00C0FFEE,11,0,Worldnews,2026-04-05 18:27:00
47612601,"Sweden goes back to basics, swapping screens for books in the classroom",novaRom,898,432,Entertainment,2026-04-05 18:27:09
47612277,Almighty Lisp: Lisp and Emacs Essentials Book,nemoniac,75,4,Entertainment,2026-04-05 18:27:14
47589856,Show HN: Postgres extension for BM25 relevance-ranked full-text search,tjgreen,202,56,Entertainment,2026-04-05 18:27:18
47631648,Automatic Textbook Formalization,tzury,43,17,Entertainment,2026-04-05 18:27:24
47612321,Show HN: I built a DNS resolver from scratch in Rust – no DNS libraries,rdme,113,65,Entertainment,2026-04-05 18:27:26
47615844,Show HN: A P2P messenger with dual network modes (Fast and Tor),Realman78,39,22,Entertainment,2026-04-05 18:27:37
47632750,Show HN: TinyOS – A minimalist RTOS for Cortex-M written in C,hpscript,100,43,Entertainment,2026-04-05 18:27:57
47588349,GitHub Monaspace Case Study,homebrewer,146,50,Science,2026-04-05 18:28:00
47636820,Show HN: Web Push Notifications for Hacker News,kinlan,5,1,Entertainment,2026-04-05 18:28:05
47607394,SolveSpace (open source 2D/3D CAD) working on Windows 2000 (2025),ruevs,40,6,Science,2026-04-05 18:28:13
47624879,Switzerland hosts 'CERN of semiconductor research',teleforce,34,6,Science,2026-04-05 18:29:47
47609883,"Salomi, a research repo on extreme low-bit transformer quantization",Edward9055,12,4,Science,2026-04-05 18:30:44
47609725,Show HN: NASA Artemis II Mission Timeline Tracker,AustinDev,93,17,Science,2026-04-05 18:30:57
47642779,Big Banks Seeking a Piece of SpaceX's IPO Must Subscribe to Elon Musk's Grok,codydh,11,0,Science,2026-04-05 18:31:20
